realization_day,weekday,weekday2,avg_reservation_price,avg_da_price
2022-01-28,4,16,0.0,175.20909623689036
2022-01-29,5,25,0.0,127.51831599458853
2022-01-30,6,36,0.0,112.04853152189442
2022-01-31,0,0,0.0,194.47514508179063
2022-02-01,1,1,0.0,185.75359982818009
2022-02-02,2,4,0.0,186.16431112114103
2022-02-03,3,9,0.0,211.3618033102886
2022-02-04,4,16,0.0,177.13522864823403
2022-02-05,5,25,0.0,116.26330497616932
2022-02-06,6,36,0.0,106.4836351506887
2022-02-07,0,0,0.0,133.87742888659926
2022-02-08,1,1,0.0,166.5883508867453
2022-02-09,2,4,4.605,161.78744400644305
2022-02-10,3,9,4.605,181.01270218901868
2022-02-11,4,16,4.607500000000001,179.75428509069695
2022-02-12,5,25,4.608750000000001,147.33427848821626
2022-02-13,6,36,4.608750000000001,97.06429587509338
2022-02-14,0,0,4.607083333333334,135.6200989739333
2022-02-15,1,1,0.0,156.92387183599692
2022-02-16,2,4,0.0,168.83113190651133
2022-02-17,3,9,0.0,151.2928762985579
2022-02-18,4,16,0.0,127.83636604838144
2022-02-19,5,25,0.0,88.52059560780202
2022-02-20,6,36,0.0,93.16269164208212
2022-02-21,0,0,0.0,83.33134834534313
2022-02-22,1,1,0.0,119.55760979871002
2022-02-23,2,4,0.0,129.09105169597353
2022-02-24,3,9,0.0,122.29166671099718
2022-02-25,4,16,0.0,111.91888938153069
2022-02-26,5,25,0.0,167.09933444828144
2022-02-27,6,36,0.0,146.5178534007023
2022-02-28,0,0,0.0,205.78525440989995
2022-03-01,1,1,0.0,247.14730720558805
2022-03-02,2,4,0.0,264.98862108195556
2022-03-03,3,9,0.0,262.3247786320663
2022-03-04,4,16,0.0,316.74604035144864
2022-03-05,5,25,0.0,302.0008315776999
2022-03-06,6,36,0.0,287.79994763472445
2022-03-07,0,0,0.0,398.59651869070825
2022-03-08,1,1,0.0,411.5085175090276
2022-03-09,2,4,0.0,471.23100524824645
2022-03-10,3,9,0.0,402.3173737847596
2022-03-11,4,16,0.0,224.29786101740626
2022-03-12,5,25,0.0,223.75735185035595
2022-03-13,6,36,0.0,178.48406406811384
2022-03-14,0,0,0.0,258.08778879650276
2022-03-15,1,1,0.0,336.49049807156985
2022-03-16,2,4,0.0,262.4238258531521
2022-03-17,3,9,0.0,235.17732660414575
2022-03-18,4,16,0.0,235.05220194377125
2022-03-19,5,25,0.0,135.09868285729203
2022-03-20,6,36,0.0,101.6735792933926
2022-03-21,0,0,0.0,189.7296577662352
2022-03-22,1,1,0.0,228.97638066626988
2022-03-23,2,4,0.0,231.78018597941448
2022-03-24,3,9,0.0,230.3467086896807
2022-03-25,4,16,0.0,227.25427678553652
2022-03-26,5,25,0.0,179.58223054754512
2022-03-27,6,36,0.0,148.04269604501832
2022-03-28,0,0,0.0,220.87079192299606
2022-03-29,1,1,0.0,242.80723377694594
2022-03-30,2,4,0.0,253.91635887573898
2022-03-31,3,9,0.0,225.50254401116572
2022-04-01,4,16,0.0,183.14230600708217
2022-04-02,5,25,0.0,189.44808519929646
2022-04-03,6,36,0.0,172.562230284159
2022-04-04,0,0,0.0,137.99703070045908
2022-04-05,1,1,0.0,183.5609303228442
2022-04-06,2,4,0.0,146.1210926996126
2022-04-07,3,9,0.0,129.53131095575526
2022-04-08,4,16,0.0,134.134182699447
2022-04-09,5,25,0.0,90.9815219176054
2022-04-10,6,36,0.0,82.77755906875963
2022-04-11,0,0,0.0,201.8446213786298
2022-04-12,1,1,0.0,211.9785141922957
2022-04-13,2,4,0.0,207.0238514930921
2022-04-14,3,9,0.0,221.424695799324
2022-04-15,4,16,0.0,156.3099358864755
2022-04-16,5,25,0.0,149.6850052198705
2022-04-17,6,36,0.0,131.75177942063516
2022-04-18,0,0,0.0,130.85599386724851
2022-04-19,1,1,0.0,202.769725841905
2022-04-20,2,4,0.0,219.58878817194227
2022-04-21,3,9,0.0,191.5608129696807
2022-04-22,4,16,0.0,155.88329538187614
2022-04-23,5,25,0.0,113.89570524662923
2022-04-24,6,36,0.0,99.02072968193362
2022-04-25,0,0,0.0,206.31099657706804
2022-04-26,1,1,0.0,234.12048248769136
2022-04-27,2,4,0.0,227.1832279102663
2022-04-28,3,9,0.0,211.3483497931151
2022-04-29,4,16,0.0,224.65417918322473
2022-04-30,5,25,0.0,185.97030499493448
2022-05-01,6,36,0.0,178.29802799880875
2022-05-02,0,0,0.0,228.47510647997538
2022-05-03,1,1,0.0,235.79936558115784
2022-05-04,2,4,0.0,225.9521988929055
2022-05-05,3,9,0.0,228.2831198143598
2022-05-06,4,16,0.0,227.13675932232454
2022-05-07,5,25,0.0,194.9194631510411
2022-05-08,6,36,0.0,172.99726316803927
2022-05-09,0,0,0.0,216.14763707236662
2022-05-10,1,1,0.0,189.8144693531685
2022-05-11,2,4,0.0,151.40014374423103
2022-05-12,3,9,0.0,194.4527364269355
2022-05-13,4,16,0.0,166.05111022272408
2022-05-14,5,25,0.0,145.92865853337048
2022-05-15,6,36,0.0,146.54523118747136
2022-05-16,0,0,0.0,194.36069936231976
2022-05-17,1,1,0.0,208.2448273977578
2022-05-18,2,4,0.0,189.65692357239877
2022-05-19,3,9,0.0,207.61926778435088
2022-05-20,4,16,0.0,210.7550959393816
2022-05-21,5,25,0.0,93.0855637482232
2022-05-22,6,36,0.0,154.70857563044618
2022-05-23,0,0,0.0,185.98257349072878
2022-05-24,1,1,0.0,168.9716226244578
2022-05-25,2,4,0.0,185.10489374455065
2022-05-26,3,9,0.0,110.96766183215118
2022-05-27,4,16,0.0,107.71689588539016
2022-05-28,5,25,0.0,70.12391168795787
2022-05-29,6,36,0.0,147.01256909106058
2022-05-30,0,0,0.0,224.76941476555518
2022-05-31,1,1,0.0,207.17545559676307
2022-06-01,2,4,0.0,196.62208145988868
2022-06-02,3,9,0.0,198.54043318096663
2022-06-03,4,16,0.0,208.75116666221925
2022-06-04,5,25,0.0,156.91631948275634
2022-06-05,6,36,0.0,135.09136866885817
2022-06-06,0,0,0.0,139.2878844451715
2022-06-07,1,1,0.0,202.6389190743529
2022-06-08,2,4,0.0,193.72166698454814
2022-06-09,3,9,0.0,191.9031837633812
2022-06-10,4,16,0.0,192.08339292632695
2022-06-11,5,25,0.0,140.36108015164533
2022-06-12,6,36,0.0,106.50511304591333
2022-06-13,0,0,0.0,152.7186341817287
2022-06-14,1,1,0.0,190.82340318102612
2022-06-15,2,4,0.0,187.41233282828867
2022-06-16,3,9,0.0,179.51456590183975
2022-06-17,4,16,0.0,205.1491948859167
2022-06-18,5,25,0.0,143.98945139868258
2022-06-19,6,36,0.0,133.1571195287875
2022-06-20,0,0,0.0,223.4327208316407
2022-06-21,1,1,0.0,217.4710914390195
2022-06-22,2,4,0.0,268.99958727946165
2022-06-23,3,9,0.0,272.86316206803207
2022-06-24,4,16,0.0,275.6813179420238
2022-06-25,5,25,0.0,229.02729048525063
2022-06-26,6,36,0.0,185.62082963023394
2022-06-27,0,0,0.0,297.39967920056193
2022-06-28,1,1,0.0,311.10706817273467
2022-06-29,2,4,0.0,331.19684799953177
2022-06-30,3,9,0.0,322.0261619389367
2022-07-01,4,16,0.0,336.4319269610084
2022-07-02,5,25,0.0,256.1152242111169
2022-07-03,6,36,0.0,200.4072881322943
2022-07-04,0,0,0.0,293.9451668876706
2022-07-05,1,1,0.0,268.5631996086983
2022-07-06,2,4,0.0,295.6778389925866
2022-07-07,3,9,0.0,261.67575954099954
2022-07-08,4,16,0.0,280.491535932767
2022-07-09,5,25,0.0,173.79763557440785
2022-07-10,6,36,0.0,110.75378315423927
2022-07-11,0,0,0.0,326.70302437046433
2022-07-12,1,1,0.0,323.0595978717259
2022-07-13,2,4,0.0,270.3310404739785
2022-07-14,3,9,1.1525,308.46928105488433
2022-07-15,4,16,0.9604166666666667,292.33894107698825
2022-07-16,5,25,0.0,156.96387876445863
2022-07-17,6,36,0.0,189.0060419022221
2022-07-18,0,0,0.57625,352.418778571697
2022-07-19,1,1,3.6495833333333336,374.7683689748963
2022-07-20,2,4,0.57625,315.4274304317161
2022-07-21,3,9,0.57625,357.42052337020505
2022-07-22,4,16,0.57625,364.4202237799468
2022-07-23,5,25,2.4970833333333338,257.5856319696743
2022-07-24,6,36,3.4575,254.00050010215702
2022-07-25,0,0,2.88125,335.2754594005376
2022-07-26,1,1,1.1525,327.51989703560065
2022-07-27,2,4,3.4575,352.0569981918761
2022-07-28,3,9,3.4575,464.0005514445193
2022-07-29,4,16,3.4575,466.75141576356526
2022-07-30,5,25,3.4575,387.1288987398702
2022-07-31,6,36,0.0,342.06858801367963
2022-08-01,0,0,4.61,420.4657356404305
2022-08-02,1,1,4.6085416666666665,411.60822943415855
2022-08-03,2,4,4.61,395.374937306405
2022-08-04,3,9,4.61,435.059282528109
2022-08-05,4,16,4.61,397.850149281116
2022-08-06,5,25,4.608750000000001,305.48319229839393
2022-08-07,6,36,4.60625,246.41121118659055
2022-08-08,0,0,4.60625,358.0442075396945
2022-08-09,1,1,,356.1421672289334
2022-08-10,2,4,4.6085416666666665,332.48544517919015
2022-08-11,3,9,4.608750000000001,337.78248640185774
2022-08-12,4,16,4.607708333333334,350.9834863992882
2022-08-13,5,25,4.607708333333334,312.9646445329443
2022-08-14,6,36,4.6085416666666665,281.6608767292003
2022-08-15,0,0,4.609583333333334,379.2025628989854
2022-08-16,1,1,4.607708333333334,411.84949230577746
2022-08-17,2,4,4.6085416666666665,475.758303194181
2022-08-18,3,9,4.607708333333334,505.6403081482952
2022-08-19,4,16,4.607708333333334,528.6961306472913
2022-08-20,5,25,4.6085416666666665,435.4716286311118
2022-08-21,6,36,4.609166666666667,367.0797885472742
2022-08-22,0,0,4.608333333333333,543.4330986002553
2022-08-23,1,1,4.607708333333334,567.4845656854515
2022-08-24,2,4,4.607708333333334,641.4815711349476
2022-08-25,3,9,4.607708333333334,651.9219319427688
2022-08-26,4,16,4.607708333333334,640.9486209566054
2022-08-27,5,25,4.6085416666666665,539.2056463225643
2022-08-28,6,36,4.61,437.16020765080367
2022-08-29,0,0,4.609166666666667,623.5692884513377
2022-08-30,1,1,4.609166666666667,670.413519135037
2022-08-31,2,4,4.6068750000000005,652.1789951127836
2022-09-01,3,9,4.61,639.3287303187094
2022-09-02,4,16,4.61,532.6111601321554
2022-09-03,5,25,4.61,431.37624679448555
2022-09-04,6,36,0.0,362.94052651523026
2022-09-05,0,0,0.0,479.16282512887193
2022-09-06,1,1,0.0,495.8048555413856
2022-09-07,2,4,0.0,507.02200247166223
2022-09-08,3,9,0.0,454.78293540994895
2022-09-09,4,16,0.0,406.28651154471254
2022-09-10,5,25,0.0,359.69967515732816
2022-09-11,6,36,0.0,320.1713166755165
2022-09-12,0,0,0.0,420.2298617065144
2022-09-13,1,1,0.0,426.2253636486753
2022-09-14,2,4,0.0,419.03387464184135
2022-09-15,3,9,0.0,392.5618920990706
2022-09-16,4,16,0.0,282.49610615213663
2022-09-17,5,25,0.0,190.60789910899112
2022-09-18,6,36,0.0,134.1634514186112
2022-09-19,0,0,0.0,247.47056929629358
2022-09-20,1,1,0.0,385.86528313993875
2022-09-21,2,4,0.0,385.28016186735636
2022-09-22,3,9,0.0,370.4992163607428
2022-09-23,4,16,0.0,366.04945649615723
2022-09-24,5,25,0.0,319.53079832684267
2022-09-25,6,36,0.0,263.0215102424426
2022-09-26,0,0,0.0,296.91146906122634
2022-09-27,1,1,0.0,323.0297268325913
2022-09-28,2,4,0.0,361.0903635795824
2022-09-29,3,9,0.0,393.7796909794095
2022-09-30,4,16,0.0,369.6439353974883
2022-10-01,5,25,0.0,123.19849051587549
2022-10-02,6,36,0.0,157.56204358181253
2022-10-03,0,0,0.0,199.08806237185215
2022-10-04,1,1,0.0,298.93618398111727
2022-10-05,2,4,0.0,141.09705271019976
2022-10-06,3,9,0.0,153.58568316149947
2022-10-07,4,16,0.0,151.24860977203403
2022-10-08,5,25,0.0,145.87603233618321
2022-10-09,6,36,0.0,133.50740236934251
2022-10-10,0,0,0.0,176.18915642034153
2022-10-11,1,1,0.0,249.34828191995072
2022-10-12,2,4,0.0,272.2720074338861
2022-10-13,3,9,0.0,251.5410963327661
2022-10-14,4,16,0.0,234.09582900904175
2022-10-15,5,25,0.0,174.16868846121983
2022-10-16,6,36,0.0,114.29401583439967
2022-10-17,0,0,0.0,182.0960335551622
2022-10-18,1,1,0.0,192.6682276801894
2022-10-19,2,4,0.0,172.9347770902668
2022-10-20,3,9,0.0,140.87832352372286
2022-10-21,4,16,0.0,162.94824308128634
2022-10-22,5,25,0.0,139.9658298850633
2022-10-23,6,36,0.0,100.22740892610312
2022-10-24,0,0,0.0,105.17171776158561
2022-10-25,1,1,1.9208333333333334,134.62848351775668
2022-10-26,2,4,2.8550000000000004,121.87265965638072
2022-10-27,3,9,1.9208333333333334,114.5537430089703
2022-10-28,4,16,1.9208333333333334,107.47649195559484
2022-10-29,5,25,1.9208333333333334,115.35037851721579
2022-10-30,6,36,2.0284,82.9202166156263
